table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
Geographic Area,Population
".Clinton County, Indiana","32,192"
".Crawford County, Indiana","10,594"
".Daviess County, Indiana","33,278"
".Dearborn County, Indiana","49,482"
".Decatur County, Indiana","26,725"
".DeKalb County, Indiana","43,208"
".Delaware County, Indiana","114,297"
".Dubois County, Indiana","42,674"
".Elkhart County, Indiana","205,617"
".Fayette County, Indiana","23,076"
".Floyd County, Indiana","77,834"
".Fountain County, Indiana","16,390"
".Franklin County, Indiana","22,706"
".Fulton County, Indiana","20,053"
".Gibson County, Indiana","33,610"
".Grant County, Indiana","66,039"
".Greene County, Indiana","32,059"
".Hamilton County, Indiana","330,311"
".Hancock County, Indiana","76,478"
".Harrison County, Indiana","40,214"
".Hendricks County, Indiana","166,908"
".Henry County, Indiana","48,131"
".Howard County, Indiana","82,257"
".Huntington County, Indiana","36,243"
".Jackson County, Indiana","44,068"
".Jasper County, Indiana","33,365"
".Jay County, Indiana","20,727"
".Jefferson County, Indiana","32,157"
".Jennings County, Indiana","27,679"
".Johnson County, Indiana","156,093"
".Knox County, Indiana","36,596"
".Kosciusko County, Indiana","79,416"
".LaGrange County, Indiana","39,375"
".Lake County, Indiana","484,440"
".LaPorte County, Indiana","109,981"
".Lawrence County, Indiana","45,630"
".Madison County, Indiana","129,573"
".Marion County, Indiana","958,700"
".Marshall County, Indiana","46,296"
".Martin County, Indiana","10,219"
".Miami County, Indiana","35,646"
".Monroe County, Indiana","147,230"
".Montgomery County, Indiana","38,274"
".Morgan County, Indiana","70,137"
".Newton County, Indiana","13,986"
".Noble County, Indiana","47,543"
".Ohio County, Indiana","5,879"
".Orange County, Indiana","19,548"
".Owen County, Indiana","20,862"
".Parke County, Indiana","16,978"
".Perry County, Indiana","19,077"
".Pike County, Indiana","12,388"
".Porter County, Indiana","169,488"
".Posey County, Indiana","25,554"
".Pulaski County, Indiana","12,492"
".Putnam County, Indiana","37,486"
".Randolph County, Indiana","24,806"
".Ripley County, Indiana","28,450"
".Rush County, Indiana","16,635"
".St. Joseph County, Indiana","270,972"
".Scott County, Indiana","23,784"
".Shelby County, Indiana","44,522"
".Spencer County, Indiana","20,385"
".Starke County, Indiana","22,951"
".Steuben County, Indiana","34,487"
".Sullivan County, Indiana","20,696"
".Switzerland County, Indiana","10,731"
".Tippecanoe County, Indiana","193,817"
".Tipton County, Indiana","15,112"
".Union County, Indiana","7,029"
".Vanderburgh County, Indiana","181,120"
".Vermillion County, Indiana","15,510"
".Vigo County, Indiana","107,367"
".Wabash County, Indiana","31,198"
".Warren County, Indiana","8,280"
".Warrick County, Indiana","62,474"
".Washington County, Indiana","27,932"
".Wayne County, Indiana","66,046"
".Wells County, Indiana","28,083"
".White County, Indiana","24,133"
".Whitley County, Indiana","34,047"
".Adair County, Iowa","7,074"
".Adams County, Iowa","3,644"
".Allamakee County, Iowa","13,852"
".Appanoose County, Iowa","12,401"
".Audubon County, Iowa","5,471"
".Benton County, Iowa","25,625"
".Black Hawk County, Iowa","131,723"
".Boone County, Iowa","26,312"
".Bremer County, Iowa","24,941"
".Buchanan County, Iowa","21,178"
".Buena Vista County, Iowa","19,826"
".Butler County, Iowa","14,525"
".Calhoun County, Iowa","9,711"
".Carroll County, Iowa","20,153"
".Cass County, Iowa","12,948"
".Cedar County, Iowa","18,564"
".Cerro Gordo County, Iowa","42,642"
".Cherokee County, Iowa","11,295"
